Neighborhood,coordinates,datetime,Radius: (ft),Photo: Faceless,Photo: Shirtless,Age: (x̅),Age: (M),Race: White,Race: Black,Race: Latino,Race: Asian,Race: Mixed,Race: Middle Eastern,Race: South Asian,Race: Other,Race: N/A,Gender: Man,Gender: Cis Man,Gender Non-Binary,Gender: Trans Wmn,Gender: Queer,Gender: N/A,Position: Top,Position: Vers Top,Position: Vers,Position: Vers Bottom,Position: Bottom,Position: N/A,Relationship Stat: Single,Relationship Stat: Open Relationship,Relationship Stat: Married,Relationship Stat: Partnered,Relationship Stat: Dating,Relationship Stat: N/A,Looking for: Right Now,Looking for: Friends,Looking for: Chat,Looking for: Dates,Looking for: Relationship,Looking for: Networking,HIV Stat: Negative,HIV Stat: Negative on PrEP,HIV Stat: Positive Undetectable,HIV Stat: Positive,HIV Stat: N/A
Astoria,"-73.92139272177555, 40.76690809572307",4/6/2021 21:40:00,1691,37,30,31.3,30,29,3,15,8,6,1,0,3,34,33,17,1,1,1,46,14,16,17,7,8,37,55,9,1,4,1,28,54,49,38,34,23,22,27,32,1,0,39
Bay Ridge,"-74.02839624872936, 40.62284306271223",5/12/2021 21:50:00,4338,56,21,32.3,30.5,24,2,14,5,11,2,1,0,40,36,8,1,2,1,49,14,7,9,8,12,49,47,2,1,0,2,47,36,36,42,9,23,35,42,9,0,0,48
Bed-Stuy,"-73.94505603899259, 40.689118935202806",3/16/2021 20:50:00,2111,29,21,29.9,28,17,15,15,3,10,0,1,0,37,32,17,4,2,1,41,14,11,18,3,8,45,44,13,1,1,3,37,39,33,27,27,17,13,43,24,4,0,28
Belmont,"-73.8875756332115, 40.85558063698224",5/6/2021 20:00:00,3211,45,18,28.1,27,7,10,26,1,11,1,0,1,42,41,5,0,5,0,45,16,4,14,7,16,42,44,1,2,0,2,49,46,34,29,26,18,21,28,15,0,1,55
Bushwick,"-73.92009482585735, 40.70226582051996",2/4/2021 21:20:00,1772,30,27,27.9,27,22,6,19,3,11,1,0,1,36,32,19,4,3,2,38,14,4,29,10,8,34,57,3,1,0,0,57,46,50,35,51,29,21,46,25,0,0,28
Central Harlem,"-73.94550895237678, 40.80777765194525",4/14/2021 20:30:00,1707,45,39,33.3,31,19,26,16,4,5,0,0,1,28,40,20,0,1,0,36,20,13,20,11,9,26,55,7,0,1,0,35,54,47,38,42,24,19,48,27,1,0,23
Chelsea,"-73.99666526125108, 40.74784003777844",2/25/2021 20:10:00,1230,42,33,34.7,32,36,6,14,3,5,3,0,0,32,38,8,0,2,2,46,15,10,18,9,12,35,44,5,1,4,1,43,45,32,26,21,18,17,35,28,2,0,34
Clinton Hill,"-73.96521878410874, 40.68978444028797",3/9/2021 20:40:00,2368,26,32,30.5,29.5,23,6,11,2,4,3,1,1,48,26,14,2,1,1,53,9,9,20,6,12,43,52,8,2,1,0,36,42,42,37,38,24,12,37,22,0,0,40
Concourse,"-73.91773459590624, 40.83450111686287",4/20/2021 20:20:00,2381,60,17,30.7,29,4,11,40,1,7,0,0,0,32,55,8,0,0,0,35,19,7,12,7,13,41,44,0,0,0,1,52,47,45,30,27,10,20,41,16,2,0,40
Crown Heights,"-73.94203354565873, 40.671199879319225",3/18/2021 21:10:00,2764,34,24,30.4,29,21,21,9,3,9,1,1,0,34,37,20,1,1,0,37,9,9,21,13,14,33,48,5,0,1,0,44,43,41,35,37,19,19,35,22,2,0,40
Downtown Brooklyn,"-73.98343820831346, 40.693668445009",3/5/2021 20:30:00,2168,42,29,31.7,30,22,11,10,6,10,0,1,2,37,34,14,0,0,0,50,18,5,17,12,8,39,39,9,3,4,0,43,46,40,30,26,15,11,31,35,1,0,31
East Flatbush,"-73.93041262837251, 40.651759532757794",4/6/2021 21:15:00,4994,60,25,30.3,28,3,49,7,0,4,0,1,1,34,47,9,1,0,0,40,17,6,18,8,11,39,41,0,0,1,1,52,48,42,33,24,18,15,39,11,2,0,47
